lemma,ngsl_rank,sfi,adjusted_frequency_per_million,hai_familiarity_band
joint,1682,56.64,46,f
compete,1683,56.64,46,f
poll,1684,56.64,46,f
weak,1685,56.63,46,f
faith,1686,56.63,46,f
reduction,1687,56.62,46,f
reserve,1688,56.61,46,f
complaint,1689,56.61,46,f
bore,1690,56.6,46,f
mission,1691,56.6,46,f
somehow,1692,56.59,46,f
tone,1693,56.59,46,f
neighborhood,1694,56.59,46,f
passenger,1695,56.59,46,f
justice,1696,56.58,46,f
phase,1697,56.58,46,f
thin,1698,56.58,46,f
rush,1699,56.58,45,f
formal,1700,56.57,45,f
religion,1701,56.57,45,f
employer,1702,56.57,45,f
reject,1703,56.56,45,f
latter,1704,56.56,45,f
plate,1705,56.56,45,f
ban,1706,56.55,45,f
steal,1707,56.55,45,f
protest,1708,56.55,45,f
index,1709,56.55,45,f
sad,1710,56.54,45,f
frequently,1711,56.54,45,f
circle,1712,56.54,45,f
helpful,1713,56.53,45,f
command,1714,56.53,45,f
attractive,1715,56.52,45,f
sick,1716,56.52,45,f
impression,1717,56.51,45,f
unable,1718,56.51,45,f
joke,1719,56.51,45,f
sky,1720,56.51,45,f
column,1721,56.51,45,f
electronic,1722,56.51,45,f
impose,1723,56.5,45,f
criminal,1724,56.49,45,f
besides,1725,56.47,44,f
properly,1726,56.46,44,f
ancient,1727,56.46,44,f
coast,1728,56.45,44,f
ill,1729,56.45,44,f
kick,1730,56.45,44,f
closely,1731,56.45,44,f
multiple,1732,56.45,44,f
yield,1733,56.44,44,f
via,1734,56.44,44,f
legislation,1735,56.44,44,f
county,1736,56.43,44,f
unlike,1737,56.42,44,f
mobile,1738,56.42,44,f
assistant,1739,56.42,44,f
implement,1740,56.41,44,f
chart,1741,56.41,44,f
attach,1742,56.4,44,f
hell,1743,56.4,44,f
everywhere,1744,56.39,44,f
advise,1745,56.39,44,f
household,1746,56.39,44,f
acknowledge,1747,56.39,44,f
reward,1748,56.38,43,f
east,1749,56.38,43,f
hat,1750,56.38,43,f
academic,1751,56.37,43,f
voter,1752,56.37,43,f
meanwhile,1753,56.36,43,f
furthermore,1754,56.36,43,f
accuse,1755,56.36,43,f
scientific,1756,56.35,43,f
wage,1757,56.35,43,f
absence,1758,56.35,43,f
construct,1759,56.33,43,f
remark,1760,56.33,43,f
medicine,1761,56.33,43,f
professor,1762,56.33,43,f
rare,1763,56.33,43,f
intention,1764,56.33,43,f
dozen,1765,56.32,43,f
settlement,1766,56.32,43,f
gap,1767,56.32,43,f
widely,1768,56.3,43,f
minimum,1769,56.3,43,f
northern,1770,56.3,43,f
estate,1771,56.3,43,f
equally,1772,56.29,43,f
expose,1773,56.29,43,f
alive,1774,56.29,43,f
shut,1775,56.28,42,f
victory,1776,56.27,42,f
resolve,1777,56.27,42,f
critic,1778,56.27,42,f
variable,1779,56.26,42,f
enormous,1780,56.26,42,f
sweet,1781,56.26,42,f
permanent,1782,56.25,42,f
emotion,1783,56.25,42,f
pursue,1784,56.25,42,f
tall,1785,56.24,42,f
urge,1786,56.24,42,f
enemy,1787,56.24,42,f
appoint,1788,56.23,42,f
milk,1789,56.23,42,f
talent,1790,56.23,42,f
smell,1791,56.22,42,f
prior,1792,56.22,42,f
priority,1793,56.22,42,f
online,1794,56.22,42,f
phrase,1795,56.19,42,f
pilot,1796,56.19,42,f
stable,1797,56.19,42,f
merely,1798,56.18,42,f
resolution,1799,56.18,42,f
communicate,1800,56.18,42,f
injury,1801,56.17,41,g
vast,1802,56.17,41,g
exhibition,1803,56.17,41,g
producer,1804,56.17,41,g
regional,1805,56.17,41,g
immediate,1806,56.16,41,g
incident,1807,56.16,41,g
childhood,1808,56.16,41,g
draft,1809,56.16,41,g
slip,1810,56.16,41,g
accompany,1811,56.16,41,g
politician,1812,56.15,41,g
angry,1813,56.15,41,g
knock,1814,56.15,41,g
seed,1815,56.15,41,g
salary,1816,56.15,41,g
illustrate,1817,56.13,41,g
imply,1818,56.13,41,g
breakfast,1819,56.13,41,g
temporary,1820,56.12,41,g
liberal,1821,56.12,41,g
lake,1822,56.11,41,g
qualify,1823,56.11,41,g
competitive,1824,56.1,41,g
truly,1825,56.09,41,g
hi,1826,56.08,41,g
yellow,1827,56.08,41,g
habit,1828,56.08,41,g
disk,1829,56.08,41,g
core,1830,56.08,41,g
emotional,1831,56.08,41,g
aircraft,1832,56.07,40,g
self,1833,56.07,40,g
metal,1834,56.07,40,g
existence,1835,56.07,40,g
bone,1836,56.06,40,g
panel,1837,56.05,40,g
prime,1838,56.05,40,g
appointment,1839,56.04,40,g
emphasize,1840,56.03,40,g
maximum,1841,56.03,40,g
effectively,1842,56.02,40,g
elsewhere,1843,56.01,40,g
bother,1844,56.01,40,g
initiative,1845,56.01,40,g
sharp,1846,56.01,40,g
diet,1847,56,40,g
motion,1848,56,40,g
gray,1849,56,40,g
plastic,1850,56,40,g
complicate,1851,55.99,40,g
discipline,1852,55.99,40,g
disappoint,1853,55.99,40,g
boss,1854,55.98,40,g
assumption,1855,55.98,40,g
freeze,1856,55.98,40,g
extreme,1857,55.98,40,g
passage,1858,55.98,40,g
reputation,1859,55.98,40,g
forth,1860,55.98,40,g
negotiation,1861,55.97,40,g
mechanism,1862,55.96,39,g
coat,1863,55.96,39,g
democracy,1864,55.96,39,g
pocket,1865,55.96,39,g
lucky,1866,55.96,39,g
crash,1867,55.96,39,g
observation,1868,55.96,39,g
meat,1869,55.95,39,g
concentration,1870,55.95,39,g
implication,1871,55.95,39,g
deserve,1872,55.94,39,g
unusual,1873,55.94,39,g
defend,1874,55.94,39,g
classic,1875,55.93,39,g
king,1876,55.93,39,g
interaction,1877,55.92,39,g
repair,1878,55.92,39,g
collapse,1879,55.92,39,g
borrow,1880,55.92,39,g
fundamental,1881,55.9,39,g
dish,1882,55.89,39,g
abroad,1883,55.89,39,g
soul,1884,55.89,39,g
capable,1885,55.88,39,g
defeat,1886,55.88,39,g
presidential,1887,55.87,39,g
perfectly,1888,55.87,39,g
enhance,1889,55.87,39,g
proud,1890,55.87,39,g
emergency,1891,55.87,39,g
educational,1892,55.87,39,g
distinguish,1893,55.86,39,g
substantial,1894,55.86,39,g
nearby,1895,55.85,38,g
manufacturer,1896,55.85,38,g
slide,1897,55.85,38,g
valuable,1898,55.85,38,g
personally,1899,55.85,38,g
breast,1900,55.85,38,g
cope,1901,55.83,38,g
approximately,1902,55.83,38,g
accommodation,1903,55.83,38,g
highlight,1904,55.83,38,g
reporter,1905,55.83,38,g
climate,1906,55.83,38,g
shirt,1907,55.82,38,g
exception,1908,55.82,38,g
corporation,1909,55.82,38,g
chip,1910,55.81,38,g
winner,1911,55.81,38,g
encounter,1912,55.81,38,g
brown,1913,55.81,38,g
breathe,1914,55.81,38,g
excuse,1915,55.8,38,g
partly,1916,55.8,38,g
tennis,1917,55.79,38,g
urban,1918,55.79,38,g
confuse,1919,55.79,38,g
southern,1920,55.79,38,g
output,1921,55.79,38,g
beauty,1922,55.79,38,g
massive,1923,55.79,38,g
install,1924,55.78,38,g
calculate,1925,55.78,38,g
mouse,1926,55.78,38,g
mathematics,1927,55.77,38,g
upper,1928,55.77,38,g
creation,1929,55.76,38,g
occupy,1930,55.76,38,g
outline,1931,55.76,38,g
sufficient,1932,55.76,38,g
update,1933,55.76,38,g
luck,1934,55.75,38,g
preserve,1935,55.75,38,g
split,1936,55.75,38,g
swing,1937,55.75,38,g
illness,1938,55.75,38,g
journalist,1939,55.75,38,g
sudden,1940,55.75,38,g
advertisement,1941,55.74,38,g
consistent,1942,55.74,38,g
originally,1943,55.73,37,g
aside,1944,55.73,37,g
comfort,1945,55.71,37,g
secondly,1946,55.71,37,g
severe,1947,55.7,37,g
gene,1948,55.7,37,g
prospect,1949,55.7,37,g
snow,1950,55.7,37,g
plot,1951,55.7,37,g
neck,1952,55.69,37,g
criteria,1953,55.67,37,g
primarily,1954,55.67,37,g
integrate,1955,55.67,37,g
criticism,1956,55.66,37,g
convention,1957,55.66,37,g
bet,1958,55.66,37,g
retain,1959,55.66,37,g
sequence,1960,55.66,37,g
plain,1961,55.65,37,g
volunteer,1962,55.64,37,g
rural,1963,55.64,37,g
calm,1964,55.64,37,g
abandon,1965,55.64,37,g
examination,1966,55.64,37,g
silence,1967,55.64,37,g
rapidly,1968,55.63,37,g
efficient,1969,55.62,37,g
revolution,1970,55.62,36,g
delight,1971,55.62,36,g
spell,1972,55.61,36,g
premise,1973,55.61,36,g
lean,1974,55.6,36,g
dramatic,1975,55.6,36,g
differ,1976,55.59,36,g
grateful,1977,55.59,36,g
protein,1978,55.59,36,g
bike,1979,55.59,36,g
distribute,1980,55.58,36,g
intellectual,1981,55.58,36,g
derive,1982,55.58,36,g
crucial,1983,55.58,36,g
unemployment,1984,55.57,36,g
wheel,1985,55.57,36,g
crop,1986,55.57,36,g
minority,1987,55.57,36,g
origin,1988,55.57,36,g
interpretation,1989,55.57,36,g
gentleman,1990,55.56,36,g
drama,1991,55.56,36,g
landscape,1992,55.56,36,g
educate,1993,55.56,36,g
toy,1994,55.55,36,g
fault,1995,55.55,36,g
exhibit,1996,55.55,36,g
minor,1997,55.54,36,g
hunt,1998,55.53,36,g
storm,1999,55.53,36,g
thick,2000,55.53,36,g
achievement,2001,55.53,36,g
negotiate,2002,55.53,36,g
dominate,2003,55.52,36,g
supplier,2004,55.51,36,g
prize,2005,55.51,36,g
typically,2006,55.51,36,g
peer,2007,55.51,36,g
pension,2008,55.51,36,g
wing,2009,55.51,36,g
acquisition,2010,55.51,36,g
laughter,2011,55.5,36,g
deeply,2012,55.5,36,g
recognition,2013,55.5,35,g
electricity,2014,55.5,35,g
assistance,2015,55.5,35,g
roof,2016,55.5,35,g
retirement,2017,55.5,35,g
respectively,2018,55.49,35,g
variation,2019,55.49,35,g
ultimately,2020,55.49,35,g
proof,2021,55.48,35,g
soil,2022,55.48,35,g
smart,2023,55.48,35,g
layer,2024,55.48,35,g
upset,2025,55.48,35,g
tooth,2026,55.47,35,g
representation,2027,55.47,35,g
preparation,2028,55.47,35,g
dispute,2029,55.47,35,g
agenda,2030,55.46,35,g
emphasis,2031,55.46,35,g
edition,2032,55.46,35,g
silver,2033,55.46,35,g
entertainment,2034,55.46,35,g
honest,2035,55.46,35,g
undertake,2036,55.44,35,g
retail,2037,55.44,35,g
wire,2038,55.44,35,g
unlikely,2039,55.44,35,g
gay,2040,55.43,35,g
publication,2041,55.43,35,g
slight,2042,55.43,35,g
unknown,2043,55.43,35,g
framework,2044,55.42,35,g
zone,2045,55.42,35,g
restrict,2046,55.42,35,g
trace,2047,55.41,35,g
inch,2048,55.41,35,g
equivalent,2049,55.41,35,g
solid,2050,55.39,35,g
enterprise,2051,55.39,35,g
elderly,2052,55.39,35,g
owe,2053,55.39,35,g
governor,2054,55.38,35,g
uniform,2055,55.38,35,g
port,2056,55.37,34,g
pitch,2057,55.37,34,g
arrival,2058,55.37,34,g
contemporary,2059,55.36,34,g
gate,2060,55.36,34,g
ease,2061,55.36,34,g
beer,2062,55.36,34,g
specialist,2063,55.35,34,g
assure,2064,55.35,34,g
profile,2065,55.35,34,g
mood,2066,55.34,34,g
episode,2067,55.34,34,g
crack,2068,55.33,34,g
numerous,2069,55.33,34,g
submit,2070,55.32,34,g
symptom,2071,55.32,34,g
virtually,2072,55.31,34,g
era,2073,55.31,34,g
coverage,2074,55.3,34,g
tension,2075,55.3,34,g
cable,2076,55.29,34,g
sensitive,2077,55.29,34,g
nervous,2078,55.29,34,g
input,2079,55.29,34,g
isolate,2080,55.28,34,g
prisoner,2081,55.27,34,g
eliminate,2082,55.27,34,g
tight,2083,55.27,34,g
wet,2084,55.27,34,g
secondary,2085,55.26,34,g
welfare,2086,55.26,34,g
recruit,2087,55.26,34,g
exclude,2088,55.25,34,g
string,2089,55.25,33,g
cloud,2090,55.25,33,g
persuade,2091,55.25,33,g
inspire,2092,55.24,33,g
grand,2093,55.24,33,g
hence,2094,55.24,33,g
crew,2095,55.23,33,g
phenomenon,2096,55.23,33,g
pupil,2097,55.23,33,g
FALSE,2098,55.23,33,g
assist,2099,55.22,33,g
restore,2100,55.22,33,g
formula,2101,55.21,33,g
alter,2102,55.21,33,g
perceive,2103,55.2,33,g
routine,2104,55.2,33,g
sink,2105,55.19,33,g
stare,2106,55.19,33,g
anymore,2107,55.19,33,g
hero,2108,55.18,33,g
supporter,2109,55.18,33,g
convert,2110,55.18,33,g
steady,2111,55.18,33,g
meter,2112,55.17,33,g
truck,2113,55.17,33,g
nose,2114,55.17,33,g
beside,2115,55.17,33,g
sail,2116,55.17,33,g
disaster,2117,55.17,33,g
pace,2118,55.17,33,g
heavily,2119,55.17,33,g
devote,2120,55.16,33,g
terrorist,2121,55.16,33,g
justify,2122,55.16,33,g
vital,2123,55.16,33,g
fascinate,2124,55.16,33,g
external,2125,55.15,33,g
spare,2126,55.15,33,g
whenever,2127,55.15,33,g
depression,2128,55.14,33,g
guilty,2129,55.14,33,g
underlie,2130,55.14,33,g
mom,2131,55.14,33,g
distinction,2132,55.14,33,g
satisfaction,2133,55.14,33,g
incorporate,2134,55.14,33,g
pour,2135,55.14,33,g
sweep,2136,55.13,33,g
obligation,2137,55.13,33,g
sir,2138,55.12,33,g
evaluate,2139,55.11,32,g
anger,2140,55.1,32,g
pub,2141,55.1,32,g
perception,2142,55.1,32,g
naturally,2143,55.09,32,g
currency,2144,55.09,32,g
database,2145,55.09,32,g
initially,2146,55.09,32,g
territory,2147,55.08,32,g
stream,2148,55.08,32,g
rarely,2149,55.08,32,g
height,2150,55.07,32,g
apparent,2151,55.07,32,g
western,2152,55.07,32,g
expansion,2153,55.06,32,g
constantly,2154,55.06,32,g
muscle,2155,55.06,32,g
scare,2156,55.06,32,g
badly,2157,55.05,32,g
everyday,2158,55.05,32,g
boundary,2159,55.05,32,g
ratio,2160,55.05,32,g
essay,2161,55.05,32,g
scream,2162,55.04,32,g
withdraw,2163,55.03,32,g
pollution,2164,55.03,32,g
disorder,2165,55.03,32,g
furniture,2166,55.02,32,g
symbol,2167,55.01,32,g
apartment,2168,55.01,32,g
demonstration,2169,55.01,32,g
analyst,2170,55,32,g
platform,2171,54.99,32,g
steel,2172,54.99,32,g
cake,2173,54.99,32,g
transform,2174,54.99,32,g
wound,2175,54.98,31,g
restriction,2176,54.98,31,g
foundation,2177,54.98,31,g
designer,2178,54.98,31,g
strain,2179,54.98,31,g
innovation,2180,54.97,31,g
album,2181,54.97,31,g
singer,2182,54.97,31,g
trail,2183,54.96,31,g
trap,2184,54.96,31,g
loose,2185,54.96,31,g
extension,2186,54.95,31,g
wealth,2187,54.95,31,g
gradually,2188,54.95,31,g
tank,2189,54.95,31,g
evil,2190,54.94,31,g
remarkable,2191,54.94,31,g
tune,2192,54.94,31,g
grass,2193,54.94,31,g
invitation,2194,54.94,31,g
transition,2195,54.94,31,g
frighten,2196,54.93,31,g
bid,2197,54.93,31,g
breed,2198,54.93,31,g
extraordinary,2199,54.93,31,g
brilliant,2200,54.93,31,g
adviser,2201,54.93,31,h
stem,2202,54.93,31,h
reverse,2203,54.92,31,h
mode,2204,54.92,31,h
mirror,2205,54.92,31,h
awful,2206,54.92,31,h
pose,2207,54.92,31,h
adjust,2208,54.92,31,h
creative,2209,54.91,31,h
nowadays,2210,54.91,31,h
poem,2211,54.91,31,h
agricultural,2212,54.91,31,h
competitor,2213,54.91,31,h
alcohol,2214,54.91,31,h
festival,2215,54.9,31,h
vegetable,2216,54.9,31,h
van,2217,54.9,31,h
confident,2218,54.9,31,h
planet,2219,54.88,31,h
curve,2220,54.88,31,h
knee,2221,54.88,31,h
overcome,2222,54.88,31,h
web,2223,54.87,31,h
depth,2224,54.87,31,h
entrance,2225,54.86,31,h
log,2226,54.86,31,h
giant,2227,54.86,31,h
god,2228,54.85,31,h
portion,2229,54.85,31,h
substance,2230,54.85,31,h
extensive,2231,54.85,31,h
interpret,2232,54.84,30,h
independence,2233,54.83,30,h
sugar,2234,54.83,30,h
inner,2235,54.83,30,h
harm,2236,54.82,30,h
consult,2237,54.82,30,h
pink,2238,54.81,30,h
shadow,2239,54.81,30,h
strip,2240,54.81,30,h
smooth,2241,54.81,30,h
intervention,2242,54.81,30,h
impress,2243,54.81,30,h
exam,2244,54.81,30,h
vice,2245,54.81,30,h
radical,2246,54.8,30,h
similarly,2247,54.8,30,h
behave,2248,54.8,30,h
loud,2249,54.8,30,h
dimension,2250,54.8,30,h
subsequent,2251,54.79,30,h
infection,2252,54.79,30,h
jacket,2253,54.78,30,h
efficiency,2254,54.78,30,h
dirty,2255,54.78,30,h
statistic,2256,54.78,30,h
regularly,2257,54.78,30,h
resort,2258,54.78,30,h
iron,2259,54.77,30,h
broadcast,2260,54.77,30,h
membership,2261,54.77,30,h
bread,2262,54.77,30,h
blind,2263,54.77,30,h
pure,2264,54.76,30,h
bloody,2265,54.76,30,h
ally,2266,54.76,30,h
quantity,2267,54.76,30,h
bend,2268,54.76,30,h
mature,2269,54.75,30,h
briefly,2270,54.75,30,h
alarm,2271,54.75,30,h
disturb,2272,54.74,30,h
sustain,2273,54.74,30,h
flood,2274,54.74,30,h
poverty,2275,54.73,30,h
crazy,2276,54.73,30,h
cite,2277,54.73,30,h
newly,2278,54.72,30,h
parallel,2279,54.72,30,h
gender,2280,54.72,30,h
sponsor,2281,54.72,30,h
boot,2282,54.71,30,h
accurate,2283,54.7,30,h
dealer,2284,54.69,29,h
button,2285,54.69,29,h
burden,2286,54.69,29,h
desert,2287,54.69,29,h
mate,2288,54.69,29,h
occasionally,2289,54.68,29,h
shareholder,2290,54.68,29,h
bowl,2291,54.67,29,h
discovery,2292,54.67,29,h
resistance,2293,54.67,29,h
bath,2294,54.66,29,h
frequency,2295,54.66,29,h
criticize,2296,54.66,29,h
tap,2297,54.65,29,h
philosophy,2298,54.65,29,h
lip,2299,54.64,29,h
attribute,2300,54.64,29,h
apologize,2301,54.64,29,h
approval,2302,54.63,29,h
grab,2303,54.63,29,h
entitle,2304,54.63,29,h
lend,2305,54.63,29,h
involvement,2306,54.63,29,h
exposure,2307,54.63,29,h
conventional,2308,54.62,29,h
digital,2309,54.62,29,h
translate,2310,54.61,29,h
edit,2311,54.6,29,h
formation,2312,54.6,29,h
deposit,2313,54.6,29,h
pleasant,2314,54.58,29,h
overseas,2315,54.58,29,h
advocate,2316,54.58,29,h
establishment,2317,54.57,29,h
summary,2318,54.56,29,h
rough,2319,54.56,29,h
pen,2320,54.55,29,h
recovery,2321,54.55,28,h
seal,2322,54.55,28,h
tube,2323,54.55,28,h
tower,2324,54.54,28,h
characterize,2325,54.54,28,h
specify,2326,54.53,28,h
exact,2327,54.52,28,h
spin,2328,54.52,28,h
operator,2329,54.51,28,h
infant,2330,54.51,28,h
dig,2331,54.5,28,h
drag,2332,54.5,28,h
mount,2333,54.5,28,h
wrap,2334,54.5,28,h
anticipate,2335,54.5,28,h
dependent,2336,54.5,28,h
specialize,2337,54.5,28,h
angle,2338,54.49,28,h
chicken,2339,54.49,28,h
anxiety,2340,54.49,28,h
virus,2341,54.48,28,h
precisely,2342,54.48,28,h
rival,2343,54.48,28,h
offense,2344,54.48,28,h
detect,2345,54.48,28,h
teenager,2346,54.47,28,h
admire,2347,54.47,28,h
moderate,2348,54.46,28,h
surgery,2349,54.46,28,h
musician,2350,54.46,28,h
significance,2351,54.46,28,h
shower,2352,54.45,28,h
illegal,2353,54.45,28,h
charity,2354,54.44,28,h
universal,2355,54.44,28,h
cigarette,2356,54.44,28,h
constitute,2357,54.44,28,h
adequate,2358,54.44,28,h
consultant,2359,54.44,28,h
historian,2360,54.44,28,h
cousin,2361,54.43,28,h
visual,2362,54.43,28,h
stupid,2363,54.43,28,h
keen,2364,54.42,28,h
ethnic,2365,54.41,28,h
twin,2366,54.41,28,h
clinical,2367,54.41,28,h
eastern,2368,54.4,28,h
forecast,2369,54.4,28,h
segment,2370,54.4,28,h
custom,2371,54.4,28,h
adapt,2372,54.4,28,h
sand,2373,54.39,28,h
cap,2374,54.39,27,h
prompt,2375,54.38,27,h
charm,2376,54.38,27,h
react,2377,54.38,27,h
lecture,2378,54.37,27,h
venture,2379,54.37,27,h
compound,2380,54.37,27,h
rescue,2381,54.37,27,h
mess,2382,54.36,27,h
preference,2383,54.36,27,h
comprehensive,2384,54.35,27,h
incentive,2385,54.35,27,h
league,2386,54.33,27,h
dialog,2387,54.33,27,h
cream,2388,54.33,27,h
rapid,2389,54.32,27,h
cancel,2390,54.32,27,h
regret,2391,54.32,27,h
dismiss,2392,54.32,27,h
margin,2393,54.32,27,h
beneath,2394,54.32,27,h
opponent,2395,54.31,27,h
resist,2396,54.3,27,h
capability,2397,54.3,27,h
absolute,2398,54.3,27,h
correspond,2399,54.3,27,h
stroke,2400,54.3,27,h
dare,2401,54.3,27,h
barrier,2402,54.3,27,h
rid,2403,54.29,27,h
divorce,2404,54.27,27,h
ruin,2405,54.26,27,h
bury,2406,54.26,27,h
counsel,2407,54.26,27,h
tendency,2408,54.26,27,h
frequent,2409,54.26,27,h
motor,2410,54.25,27,h
survival,2411,54.25,27,h
counter,2412,54.25,27,h
possess,2413,54.25,27,h
permission,2414,54.24,27,h
valley,2415,54.24,27,h
float,2416,54.24,27,h
mad,2417,54.24,27,h
greatly,2418,54.23,27,h
visible,2419,54.23,26,h
electric,2420,54.23,26,h
impressive,2421,54.22,26,h
evolution,2422,54.21,26,h
awareness,2423,54.21,26,h
violent,2424,54.21,26,h
slave,2425,54.21,26,h
wealthy,2426,54.21,26,h
architecture,2427,54.21,26,h
acceptable,2428,54.21,26,h
journal,2429,54.21,26,h
coal,2430,54.21,26,h
measurement,2431,54.21,26,h
random,2432,54.21,26,h
successfully,2433,54.19,26,h
depress,2434,54.19,26,h
illustration,2435,54.18,26,h
burst,2436,54.18,26,h
privilege,2437,54.18,26,h
buyer,2438,54.18,26,h
mutual,2439,54.18,26,h
rail,2440,54.17,26,h
motivate,2441,54.16,26,h
laboratory,2442,54.15,26,h
mortgage,2443,54.15,26,h
promotion,2444,54.14,26,h
passion,2445,54.14,26,h
champion,2446,54.13,26,h
fulfill,2447,54.13,26,h
dust,2448,54.13,26,h
dedicate,2449,54.12,26,h
roughly,2450,54.12,26,h
skirt,2451,54.12,26,h
province,2452,54.12,26,h
march,2453,54.11,26,h
evaluation,2454,54.11,26,h
compromise,2455,54.11,26,h
accomplish,2456,54.11,26,h
weakness,2457,54.11,26,h
announcement,2458,54.11,26,h
salt,2459,54.11,26,h
glance,2460,54.1,26,h
opera,2461,54.1,26,h
contest,2462,54.1,26,h
brush,2463,54.1,26,h
embarrass,2464,54.09,26,h
gallery,2465,54.09,26,h
genetic,2466,54.09,26,h
aggressive,2467,54.09,26,h
chest,2468,54.09,26,h
format,2469,54.08,26,h
literary,2470,54.08,26,h
govern,2471,54.08,26,h
embrace,2472,54.06,25,h
praise,2473,54.05,25,h
silent,2474,54.05,25,h
pump,2475,54.04,25,h
publisher,2476,54.04,25,h
celebration,2477,54.04,25,h
golf,2478,54.04,25,h
compensation,2479,54.04,25,h
classical,2480,54.04,25,h
weigh,2481,54.03,25,h
versus,2482,54.03,25,h
deficit,2483,54.02,25,h
modify,2484,54.02,25,h
flash,2485,54.02,25,h
friendship,2486,54.02,25,h
profession,2487,54.01,25,h
literally,2488,54.01,25,h
equation,2489,54.01,25,h
gesture,2490,54.01,25,h
entertain,2491,54,25,h
fantastic,2492,54,25,h
assign,2493,54,25,h
inflation,2494,54,25,h
historic,2495,54,25,h
injure,2496,53.98,25,h
remote,2497,53.98,25,h
therapy,2498,53.97,25,h
orange,2499,53.97,25,h
twist,2500,53.97,25,h
personnel,2501,53.97,25,h
imagination,2502,53.96,25,h
disagree,2503,53.96,25,h
throat,2504,53.95,25,h
insight,2505,53.94,25,h
tackle,2506,53.94,25,h
forever,2507,53.93,25,h
exceed,2508,53.93,25,h
expenditure,2509,53.93,25,h
joy,2510,53.92,25,h
pregnant,2511,53.91,25,h
reliable,2512,53.91,25,h
gear,2513,53.91,25,h
click,2514,53.91,25,h
poet,2515,53.91,25,h
fortune,2516,53.91,25,h
ceremony,2517,53.9,25,h
pile,2518,53.9,25,h
pig,2519,53.89,25,h
mixture,2520,53.89,25,h
automatically,2521,53.88,24,h
scholar,2522,53.87,24,h
psychological,2523,53.87,24,h
dramatically,2524,53.87,24,h
stake,2525,53.87,24,h
creature,2526,53.87,24,h
partnership,2527,53.87,24,h
participation,2528,53.86,24,h
clause,2529,53.86,24,h
penalty,2530,53.86,24,h
chamber,2531,53.86,24,h
fancy,2532,53.86,24,h
poetry,2533,53.86,24,h
chat,2534,53.85,24,h
clothing,2535,53.85,24,h
evolve,2536,53.85,24,h
sake,2537,53.85,24,h
shelf,2538,53.84,24,h
boost,2539,53.84,24,h
tail,2540,53.83,24,h
possession,2541,53.83,24,h
abortion,2542,53.83,24,h
curious,2543,53.83,24,h
wooden,2544,53.82,24,h
boom,2545,53.82,24,h
tale,2546,53.82,24,h
democratic,2547,53.81,24,h
maintenance,2548,53.8,24,h
consequently,2549,53.8,24,h
pot,2550,53.8,24,h
cow,2551,53.79,24,h
strengthen,2552,53.79,24,h
whilst,2553,53.79,24,h
constraint,2554,53.79,24,h
fold,2555,53.79,24,h
bin,2556,53.79,24,h
undergo,2557,53.79,24,h
potentially,2558,53.78,24,h
scope,2559,53.78,24,h
pretend,2560,53.78,24,h
diversity,2561,53.77,24,h
allege,2562,53.77,24,h
pride,2563,53.76,24,h
intense,2564,53.76,24,h
inquiry,2565,53.75,24,h
resign,2566,53.75,24,h
craft,2567,53.75,24,h
strict,2568,53.75,24,h
concrete,2569,53.74,24,h
shell,2570,53.74,24,h
damn,2571,53.72,24,h
distinct,2572,53.72,24,h
humor,2573,53.71,24,h
limitation,2574,53.71,24,h
indication,2575,53.71,23,h
stability,2576,53.7,23,h
wise,2577,53.7,23,h
neglect,2578,53.7,23,h
compose,2579,53.7,23,h
jail,2580,53.7,23,h
shelter,2581,53.69,23,h
mere,2582,53.69,23,h
carbon,2583,53.69,23,h
regulate,2584,53.69,23,h
cheese,2585,53.68,23,h
trigger,2586,53.68,23,h
pipe,2587,53.67,23,h
destruction,2588,53.67,23,h
guitar,2589,53.67,23,h
flag,2590,53.67,23,h
piano,2591,53.66,23,h
magic,2592,53.66,23,h
mystery,2593,53.66,23,h
ski,2594,53.66,23,h
whisper,2595,53.65,23,h
rear,2596,53.65,23,h
menu,2597,53.65,23,h
species,2598,53.64,23,h
moon,2599,53.64,23,h
presumably,2600,53.64,23,h
bless,2601,53.64,23,h
airline,2602,53.64,23,h
amendment,2603,53.63,23,h
grandmother,2604,53.63,23,h
jury,2605,53.62,23,h
cooperation,2606,53.62,23,h
civilian,2607,53.61,23,h
composition,2608,53.61,23,h
coin,2609,53.6,23,h
regardless,2610,53.6,23,h
scan,2611,53.59,23,h
bunch,2612,53.59,23,h
racial,2613,53.58,23,h
greet,2614,53.58,23,h
hopefully,2615,53.58,23,h
sanction,2616,53.58,23,h
trick,2617,53.58,23,h
paragraph,2618,53.58,23,h
maker,2619,53.57,23,h
chocolate,2620,53.56,23,h
stimulate,2621,53.56,23,h
belt,2622,53.56,23,h
potato,2623,53.55,23,h
narrative,2624,53.55,23,h
tissue,2625,53.55,23,h
barely,2626,53.54,23,h
invent,2627,53.54,23,h
tourism,2628,53.54,23,h
pro,2629,53.53,23,h
stair,2630,53.53,23,h
hesitate,2631,53.52,23,h
shine,2632,53.52,23,h
motivation,2633,53.52,23,h
romantic,2634,53.51,22,h
firmly,2635,53.51,22,h
interior,2636,53.51,22,h
stomach,2637,53.51,22,h
nowhere,2638,53.5,22,h
pray,2639,53.49,22,h
championship,2640,53.48,22,h
servant,2641,53.48,22,h
immigrant,2642,53.48,22,h
