lemma,ngsl_rank,sfi,adjusted_frequency_per_million,hai_familiarity_band
agency,970,59.81,96,d
dollar,971,59.8,96,d
garden,972,59.79,95,d
fix,973,59.79,95,d
ahead,974,59.78,95,d
cross,975,59.78,95,d
yeah,976,59.77,95,d
candidate,977,59.74,94,d
weight,978,59.74,94,d
legal,979,59.72,94,d
proposal,980,59.71,94,d
version,981,59.71,94,d
conversation,982,59.71,93,d
somebody,983,59.7,93,d
pound,984,59.69,93,d
magazine,985,59.69,93,d
shape,986,59.69,93,d
sea,987,59.68,93,d
immediately,988,59.67,93,d
welcome,989,59.67,93,d
smile,990,59.67,93,d
communication,991,59.67,93,d
agent,992,59.65,92,d
traditional,993,59.65,92,d
replace,994,59.64,92,d
judge,995,59.64,92,d
herself,996,59.63,92,d
suddenly,997,59.63,92,d
generation,998,59.63,92,d
estimate,999,59.63,92,d
favorite,1000,59.62,92,d
difficulty,1001,59.62,92,d
purchase,1002,59.61,91,d
shoot,1003,59.6,91,d
announce,1004,59.6,91,d
unless,1005,59.6,91,d
independent,1006,59.59,91,d
recommend,1007,59.58,91,d
survey,1008,59.58,91,d
majority,1009,59.58,91,d
stick,1010,59.57,91,d
request,1011,59.56,90,d
rich,1012,59.54,90,d
wind,1013,59.54,90,d
none,1014,59.53,90,d
exchange,1015,59.52,90,d
budget,1016,59.51,89,d
famous,1017,59.51,89,d
blood,1018,59.51,89,d
appropriate,1019,59.51,89,d
block,1020,59.51,89,d
warm,1021,59.5,89,d
count,1022,59.5,89,d
scene,1023,59.5,89,d
writer,1024,59.49,89,d
content,1025,59.49,89,d
prevent,1026,59.48,89,d
safe,1027,59.47,89,d
invite,1028,59.47,88,d
mix,1029,59.46,88,d
element,1030,59.45,88,d
effective,1031,59.45,88,d
correct,1032,59.45,88,d
medical,1033,59.43,88,d
admit,1034,59.42,88,d
beat,1035,59.42,87,d
telephone,1036,59.42,87,d
copy,1037,59.41,87,d
committee,1038,59.4,87,d
aware,1039,59.4,87,d
advice,1040,59.4,87,d
handle,1041,59.39,87,d
glass,1042,59.39,87,d
trial,1043,59.38,87,d
stress,1044,59.38,87,d
radio,1045,59.37,86,d
administration,1046,59.36,86,d
complex,1047,59.36,86,d
text,1048,59.35,86,d
context,1049,59.35,86,d
ride,1050,59.34,86,d
directly,1051,59.34,86,d
heavy,1052,59.34,86,d
remove,1053,59.33,86,d
conduct,1054,59.33,86,d
equipment,1055,59.33,86,d
otherwise,1056,59.33,86,d
title,1057,59.32,86,d
extra,1058,59.31,85,d
executive,1059,59.31,85,d
chair,1060,59.31,85,d
expensive,1061,59.31,85,d
sample,1062,59.3,85,d
sex,1063,59.3,85,d
deliver,1064,59.29,85,d
video,1065,59.29,85,d
connection,1066,59.29,85,d
primary,1067,59.28,85,d
weather,1068,59.27,85,d
collect,1069,59.27,84,d
inform,1070,59.25,84,d
principle,1071,59.25,84,d
straight,1072,59.24,84,d
appeal,1073,59.24,84,d
highly,1074,59.24,84,d
trust,1075,59.24,84,d
wonderful,1076,59.23,84,d
flat,1077,59.23,84,d
absolutely,1078,59.22,84,d
flow,1079,59.22,84,d
fair,1080,59.22,84,d
additional,1081,59.21,83,d
responsible,1082,59.21,83,d
farm,1083,59.2,83,d
collection,1084,59.2,83,d
hang,1085,59.19,83,d
negative,1086,59.18,83,d
band,1087,59.18,83,d
relative,1088,59.17,83,d
tour,1089,59.17,83,d
alternative,1090,59.17,83,d
software,1091,59.17,83,d
pair,1092,59.16,82,d
ship,1093,59.16,82,d
attitude,1094,59.14,82,d
cheap,1095,59.14,82,d
double,1096,59.14,82,d
leg,1097,59.13,82,d
observe,1098,59.13,82,d
sentence,1099,59.13,82,d
print,1100,59.12,82,d
